reporting_week,reporting_date,product_pillar,product_group,gross_revenue_actual,net_revenue_actual,gross_revenue_budget,net_revenue_budget,gross_revenue_2_10_forecast,net_revenue_2_10_forecast
2025-01-27,2025-02-02,Money Management,issuing,721883.2718,379545.4693,,,,
2024-09-09,2024-09-13,Money Management,issuing,468510.8126,210869.5266,,,,
2023-05-08,2023-05-09,Money Management,issuing,249202.7537,130089.4603,,,,
2023-12-11,2023-12-16,Money Management,issuing,402734.6235,133218.854,,,,
2023-12-11,2023-12-14,Money Management,issuing,363105.231,120110.0176,,,,
2023-11-27,2023-12-01,Money Management,issuing,386943.1356,127995.2556,,,,
2026-03-02,2026-03-07,Money Management,issuing,792703.4251,373391.6606,633409.9059,282719.5333,629415.0587,292947.81
2026-08-10,2026-08-10,Money Management,issuing,,,716606.1792,327747.1075,714410.6213,334349.2814
2026-09-21,2026-09-22,Money Management,issuing,,,704696.5058,326771.4828,701807.2327,330991.7683
2026-11-09,2026-11-11,Money Management,issuing,,,819219.7658,379904.1674,791356.7278,354508.05
2025-07-14,2025-07-19,Money Management,issuing,574574.3776,259926.5771,,,,
2023-05-29,2023-06-04,Money Management,issuing,205652.6917,111615.6211,,,,
2024-01-15,2024-01-16,Money Management,issuing,301006.1484,172432.3681,,,,
2024-01-01,2024-01-05,Money Management,issuing,386326.4877,221308.4068,,,,
2024-02-12,2024-02-18,Money Management,issuing,266524.0892,141563.0157,,,,
2023-07-10,2023-07-10,Money Management,issuing,213010.2516,130506.8589,,,,
2023-04-24,2023-04-28,Money Management,issuing,373360.3919,198336.631,,,,
2026-06-08,2026-06-13,Money Management,issuing,,,681294.6683,307301.0999,679196.7759,314971.2873
2025-08-25,2025-08-26,Money Management,issuing,560398.4648,245114.2684,,,,
2023-12-25,2023-12-27,Money Management,issuing,196282.4073,64927.41332,,,,
2026-09-07,2026-09-10,Money Management,issuing,,,724420.8355,335917.7584,721450.6922,340256.169
2025-12-15,2025-12-21,Money Management,issuing,560366.9619,255595.7785,,,,
2023-06-19,2023-06-23,Money Management,issuing,312432.2688,169569.0022,,,,
2023-06-19,2023-06-21,Money Management,issuing,288003.5994,156310.6243,,,,
2023-06-05,2023-06-10,Money Management,issuing,324011.3952,175853.4392,,,,
2026-10-26,2026-10-29,Money Management,issuing,,,728478.8107,324016.0144,708134.6414,333752.3332
2023-09-11,2023-09-17,Money Management,issuing,240463.2929,85067.30188,,,,
2023-07-10,2023-07-12,Money Management,issuing,330650.6219,202582.6162,,,,
2023-02-06,2023-02-08,Money Management,issuing,295144.7498,107271.6044,,,,
2024-06-03,2024-06-04,Money Management,issuing,429423.1299,218295.4292,,,,
2025-01-20,2025-01-21,Money Management,issuing,415495.5864,136556.3181,,,,
2025-01-13,2025-01-13,Money Management,issuing,326901.1948,107438.9838,,,,
2025-02-10,2025-02-13,Money Management,issuing,598276.2555,314556.4539,,,,
2025-05-19,2025-05-24,Money Management,issuing,583861.5959,303033.7418,,,,
2025-04-28,2025-05-01,Money Management,issuing,617422.6751,320452.4922,,,,
2024-09-23,2024-09-28,Money Management,issuing,469975.9337,211528.9551,,,,
2026-06-29,2026-06-29,Money Management,issuing,,,623677.7602,281312.728,621757.2859,288334.2497
2025-08-11,2025-08-12,Money Management,issuing,533873.9844,233512.6509,,,,
2025-12-08,2025-12-12,Money Management,issuing,753003.608,343461.6179,,,,
2025-09-15,2025-09-15,Money Management,issuing,460680.9455,199382.5282,,,,
2025-03-31,2025-04-01,Money Management,issuing,537878.1835,242519.6862,,,,
2023-06-12,2023-06-16,Money Management,issuing,314978.3822,170950.8758,,,,
2023-06-05,2023-06-07,Money Management,issuing,314117.1542,170483.4542,,,,
2026-10-19,2026-10-20,Money Management,issuing,,,771559.5823,343177.6698,750012.2998,353489.7749
2026-05-11,2026-05-15,Money Management,issuing,,,651067.9662,287594.0037,639039.3935,298494.5557
2024-05-06,2024-05-08,Money Management,issuing,452668.4833,215944.3337,,,,
2023-08-28,2023-09-02,Money Management,issuing,434133.6143,153580.9261,,,,
2023-07-24,2023-07-29,Money Management,issuing,345261.4045,211534.3325,,,,
2023-07-24,2023-07-26,Money Management,issuing,328610.739,201332.8233,,,,
2023-02-13,2023-02-16,Money Management,issuing,290287.1482,105506.0886,,,,
2023-01-30,2023-02-03,Money Management,issuing,404994.0537,147196.7973,,,,
2024-12-16,2024-12-16,Money Management,issuing,457135.2266,206864.6035,,,,
2025-08-25,2025-08-28,Money Management,issuing,577510.7442,252599.0566,,,,
2025-03-17,2025-03-22,Money Management,issuing,550243.1771,229548.6047,,,,
2026-08-17,2026-08-18,Money Management,issuing,,,689993.0874,315575.3399,687879.0674,321932.3244
2026-09-14,2026-09-19,Money Management,issuing,,,758714.2724,351819.8058,755603.525,356363.5928
2025-06-30,2025-07-05,Money Management,issuing,458995.8569,207641.0412,,,,
2025-04-14,2025-04-19,Money Management,issuing,527384.9213,237788.4613,,,,
2024-11-18,2024-11-18,Money Management,issuing,381176.8937,198929.419,,,,
2023-06-19,2023-06-22,Money Management,issuing,307511.3537,166898.2324,,,,
2026-12-14,2026-12-16,Money Management,issuing,,,907064.9251,419796.3974,858804.7795,406040.9328
2023-09-25,2023-09-26,Money Management,issuing,282819.9333,100051.5644,,,,
2024-07-29,2024-07-30,Money Management,issuing,400707.614,196702.9461,,,,
2024-07-22,2024-07-28,Money Management,issuing,302313.7311,148402.4747,,,,
2024-06-10,2024-06-14,Money Management,issuing,462538.1783,235129.3238,,,,
2023-04-24,2023-04-26,Money Management,issuing,333740.8687,177289.9348,,,,
2023-04-24,2023-04-24,Money Management,issuing,215639.8528,114552.274,,,,
2025-05-12,2025-05-14,Money Management,issuing,584220.5402,303220.0398,,,,
2026-06-08,2026-06-14,Money Management,issuing,,,656024.0946,295902.6911,654004.0172,303288.3761
2025-08-04,2025-08-07,Money Management,issuing,601396.2151,263046.3903,,,,
