reporting_week,reporting_date,product_pillar,product_grouping,[DROPPED] daily_actual_net_revenue,estimated_fy25_2_10_forecast,estimated_fy25_5_7_forecast,estimated_fy25_8_4_forecast,estimated_fy25_budget,estimated_fy26_budget,daily_actual_gross_revenue
4/17/23,4/20/23,Money Management,Other BaaS Products,,0,0,0,0,-7979.86,null
9/11/23,9/16/23,Money Management,Other BaaS Products,,0,0,0,0,-4999.4,null
5/26/25,5/29/25,Money Management,Financial Accounts,,0,0,0,0,-4625.333584,0
10/28/24,11/2/24,Money Management,Financial Accounts,,0,0,0,0,0,null
12/9/24,12/15/24,Money Management,Other BaaS Products,,0,0,0,0,-2716.8,null
7/21/25,7/25/25,Money Management,Mass Payouts,,0,0,0,0,4124.950674,0
9/29/25,10/4/25,Money Management,Other BaaS Products,,0,0,0,0,-2732.82,0
8/11/25,8/13/25,Money Management,Faster Payouts,,0,0,0,0,20926.71578,0
2/26/24,2/26/24,Money Management,Other BaaS Products,,0,0,0,0,-4328.64,null
1/1/24,1/5/24,Money Management,Financial Accounts,,0,0,0,0,-300726.93,null
3/9/26,3/11/26,Money Management,Faster Payouts,,0,0,0,0,44559.74614,0
10/20/25,10/23/25,Money Management,Faster Payouts,,0,0,0,0,31550.15279,0
1/5/26,1/9/26,Money Management,Financial Accounts,,0,0,0,0,-280402.8177,0
4/29/24,5/1/24,Money Management,Financial Accounts,,0,0,0,0,-530910.05,null
10/17/22,10/20/22,Money Management,Other BaaS Products,,0,0,0,0,-9445.1,null
8/22/22,8/27/22,Money Management,Other BaaS Products,,0,0,0,0,-8823.63,null
6/10/24,6/16/24,Money Management,Other BaaS Products,,0,0,0,0,-3765.19,null
8/29/22,9/2/22,Money Management,Financial Accounts,,0,0,0,0,0,null
8/28/23,8/30/23,Money Management,Other BaaS Products,,0,0,0,0,-9177.27,null
10/6/25,10/7/25,Money Management,Faster Payouts,,0,0,0,0,-58182.5351,0
9/27/21,10/3/21,Money Management,Other BaaS Products,,0,0,0,0,-15823.7,null
12/19/22,12/25/22,Money Management,Other BaaS Products,,0,0,0,0,-3616.09,null
4/1/24,4/4/24,Money Management,Financial Accounts,,0,0,0,0,0.04,null
1/13/25,1/13/25,Money Management,Mass Payouts,,0,0,0,0,462.75,0
8/19/24,8/19/24,Money Management,Mass Payouts,,0,0,0,0,75.75,null
11/22/21,11/27/21,Money Management,Other BaaS Products,,0,0,0,0,-8866.33,null
4/18/22,4/19/22,Money Management,Other BaaS Products,,0,0,0,0,-19474.98,null
10/18/21,10/21/21,Money Management,Other BaaS Products,,0,0,0,0,-9258.33,null
1/5/26,1/6/26,Money Management,Financial Accounts,,0,0,0,0,-6389.477411,0
5/9/22,5/11/22,Money Management,Financial Accounts,,0,0,0,0,9015.84,null
1/23/23,1/26/23,Money Management,Other BaaS Products,,0,0,0,0,-7994.34,null
11/25/24,11/25/24,Money Management,Other BaaS Products,,0,0,0,0,-3498.67,null
1/26/26,1/26/26,Money Management,Financial Accounts,,0,0,0,0,-5723.079587,0
8/18/25,8/18/25,Money Management,Other BaaS Products,,0,0,0,0,-2444.97,0
4/15/24,4/17/24,Money Management,Other BaaS Products,,0,0,0,0,-7220.24,null
1/8/24,1/9/24,Money Management,Other BaaS Products,,0,0,0,0,-6747.73,null
3/4/24,3/7/24,Money Management,Other BaaS Products,,0,0,0,0,-8221.09,null
12/13/21,12/16/21,Money Management,Other BaaS Products,,0,0,0,0,-11136.32,null
9/30/24,10/2/24,Money Management,Mass Payouts,,0,0,0,0,90,null
4/7/25,4/9/25,Money Management,Mass Payouts,,0,0,0,0,-1.5,0
6/24/24,6/25/24,Money Management,Mass Payouts,,0,0,0,0,35,null
9/1/25,9/7/25,Money Management,Other BaaS Products,,0,0,0,0,-1981.76,0
10/13/25,10/16/25,Money Management,Financial Accounts,,0,0,0,0,-4258.913531,0
7/15/24,7/15/24,Money Management,Mass Payouts,,0,0,0,0,25.25,null
9/29/25,10/5/25,Money Management,Mass Payouts,,0,0,0,0,299.4305603,0
9/19/22,9/22/22,Money Management,Other BaaS Products,,0,0,0,0,-9987.74,null
11/6/23,11/10/23,Money Management,Other BaaS Products,,0,0,0,0,-6707.77,null
1/5/26,1/5/26,Money Management,Mass Payouts,,0,0,0,0,13373.02515,0
6/24/24,6/28/24,Money Management,Mass Payouts,,0,0,0,0,23,null
8/16/21,8/21/21,Money Management,Other BaaS Products,,0,0,0,0,-7726.42,null
8/28/23,9/1/23,Money Management,Other BaaS Products,,0,0,0,0,-15211.91,null
12/18/23,12/20/23,Money Management,Other BaaS Products,,0,0,0,0,-5677.8,null
7/14/25,7/16/25,Money Management,Financial Accounts,,0,0,0,0,-3766.686792,0
3/20/23,3/20/23,Money Management,Other BaaS Products,,0,0,0,0,-3687.8,null
1/13/25,1/16/25,Money Management,Other BaaS Products,,0,0,0,0,-7097.86,0
11/7/22,11/12/22,Money Management,Other BaaS Products,,0,0,0,0,-8980.05,null
4/21/25,4/25/25,Money Management,Other BaaS Products,,0,0,0,0,-3835.45,0
3/16/26,3/19/26,Money Management,Faster Payouts,,0,0,0,0,null,0
2/23/26,2/25/26,Money Management,Other BaaS Products,,0,0,0,0,-3305.96,0
10/21/24,10/21/24,Money Management,Financial Accounts,,0,0,0,0,0,null
10/9/23,10/9/23,Money Management,Financial Accounts,,0,0,0,0,-15.56,null
1/13/25,1/19/25,Money Management,Other BaaS Products,,0,0,0,0,-3553.2,0
12/29/25,1/3/26,Money Management,Mass Payouts,,0,0,0,0,7483.731786,0
11/11/24,11/13/24,Money Management,Mass Payouts,,0,0,0,0,221.25,null
11/24/25,11/26/25,Money Management,Financial Accounts,,0,0,0,0,-5832.469318,0
8/14/23,8/18/23,Money Management,Other BaaS Products,,0,0,0,0,-6587.79,null
10/23/23,10/24/23,Money Management,Financial Accounts,,0,0,0,0,0,null
10/13/25,10/19/25,Money Management,Financial Accounts,,0,0,0,0,-7077.45,0
10/20/25,10/25/25,Money Management,Faster Payouts,,0,0,0,0,21345.32009,0
5/1/23,5/2/23,Money Management,Other BaaS Products,,0,0,0,0,-14791.18,null
2/23/26,2/28/26,Money Management,Faster Payouts,,0,0,0,0,673401.5566,1249083.62
8/11/25,8/11/25,Money Management,Financial Accounts,,0,0,0,0,-5303.597929,0
1/22/24,1/27/24,Money Management,Other BaaS Products,,0,0,0,0,-4234.7,null
11/14/22,11/14/22,Money Management,Other BaaS Products,,0,0,0,0,-4738.77,null
2/13/23,2/14/23,Money Management,Other BaaS Products,,0,0,0,0,-7411.3,null
12/18/23,12/24/23,Money Management,Other BaaS Products,,0,0,0,0,-3219.91,null
5/26/25,5/30/25,Money Management,Financial Accounts,,0,0,0,0,-5326.45,0
12/12/22,12/13/22,Money Management,Financial Accounts,,0,0,0,0,-45703.97,null
10/16/23,10/22/23,Money Management,Other BaaS Products,,0,0,0,0,-2980.01,null
6/23/25,6/24/25,Money Management,Mass Payouts,,0,0,0,0,1199.621114,0
2/27/23,3/1/23,Money Management,Financial Accounts,,0,0,0,0,-0.39,null
11/10/25,11/11/25,Money Management,Faster Payouts,,0,0,0,0,29617.11453,0
3/20/23,3/23/23,Money Management,Other BaaS Products,,0,0,0,0,-6960.22,null
6/6/22,6/10/22,Money Management,Other BaaS Products,,0,0,0,0,-22019.34,null
9/12/22,9/18/22,Money Management,Other BaaS Products,,0,0,0,0,-6973.12,null
2/2/26,2/7/26,Money Management,Financial Accounts,,0,0,0,0,-5929.40229,0
2/9/26,2/12/26,Money Management,Other BaaS Products,,0,0,0,0,-3326.25,0
11/28/22,11/30/22,Money Management,Financial Accounts,,0,0,0,0,169844.38,null
9/20/21,9/24/21,Money Management,Other BaaS Products,,0,0,0,0,-8530.11,null
12/11/23,12/11/23,Money Management,Other BaaS Products,,0,0,0,0,-4573.77,null
12/2/24,12/6/24,Money Management,Mass Payouts,,0,0,0,0,1256.25,null
10/17/22,10/19/22,Money Management,Other BaaS Products,,0,0,0,0,-7585.62,null
1/20/25,1/24/25,Money Management,Faster Payouts,,0,0,0,0,0,0
11/10/25,11/15/25,Money Management,Other BaaS Products,,0,0,0,0,-2693.17,0
1/13/25,1/16/25,Money Management,Mass Payouts,,0,0,0,0,457.75,0
12/1/25,12/3/25,Money Management,Faster Payouts,,0,0,0,0,43930.45608,0
11/21/22,11/25/22,Money Management,Other BaaS Products,,0,0,0,0,-3200.03,null
11/27/23,12/2/23,Money Management,Other BaaS Products,,0,0,0,0,-13654.6,null
10/31/22,11/1/22,Money Management,Other BaaS Products,,0,0,0,0,-8228.52,null
6/6/22,6/12/22,Money Management,Other BaaS Products,,0,0,0,0,-7593.83,null
9/23/24,9/28/24,Money Management,Other BaaS Products,,0,0,0,0,-6113.9,null
1/30/23,2/3/23,Money Management,Other BaaS Products,,0,0,0,0,-17844.63,null
1/5/26,1/5/26,Money Management,Financial Accounts,,0,0,0,0,-4740.017079,0
3/14/22,3/16/22,Money Management,Other BaaS Products,,0,0,0,0,-10892.19,null
3/24/25,3/25/25,Money Management,Financial Accounts,,0,0,0,0,-5162.09834,0
2/2/26,2/3/26,Money Management,Financial Accounts,,0,0,0,0,-5482.685795,0
8/11/25,8/17/25,Money Management,Mass Payouts,,0,0,0,0,696.4903161,0
11/3/25,11/8/25,Money Management,Other BaaS Products,,0,0,0,0,-4800.36,0
9/16/24,9/20/24,Money Management,Mass Payouts,,0,0,0,0,1033,null
3/9/26,3/12/26,Money Management,Faster Payouts,,0,0,0,0,31988.81239,0
12/15/25,12/17/25,Money Management,Mass Payouts,,0,0,0,0,5328.241101,0
4/14/25,4/14/25,Money Management,Financial Accounts,,0,0,0,0,-4047.658002,0
9/16/24,9/22/24,Money Management,Other BaaS Products,,0,0,0,0,-4398.21,null
11/18/24,11/20/24,Money Management,Mass Payouts,,0,0,0,0,439.5,null
10/31/22,11/4/22,Money Management,Financial Accounts,,0,0,0,0,-780.02,null
10/20/25,10/24/25,Money Management,Faster Payouts,,0,0,0,0,34107.57318,0
3/30/26,4/1/26,Money Management,Money Management Stretch,,0,0,0,0,null,0
1/19/26,1/25/26,Money Management,Money Management Stretch,,0,0,0,0,0,0
